1;Filomatic;A CORU�A;A Coru�a;R�a San Jos�, 21, 15002;626716307;salafilomatic@gmail.com;Sin datos;Rock, Metal, Punk;200-250
2;Garufa;A CORU�A;A Coru�a;R�a Riazor, 5, 15004;881883856;salagarufacoruna@gmail.com;Sin datos;Rock, Blues, Jazz;300
3;Inn;A CORU�A;A Coru�a;Av. Porto da Coru�a, 3, 15003;881555255;info@salainnclub.com;http://salainnclub.com/;Rock, Pop;600
4;Mardi Gras;A CORU�A;A Coru�a;Tr.� la Torre, 8, 15002;677428150;salamardigras@gmail.com;http://www.salamardigras.com/;Rock, Pop, Indie;200
5;A Reserva;A CORU�A;Carballo;R�a Desiderio Varela, 7, 15100;674589857;salareserva2023@gmail.com;Sin datos;Rock, Pop, Punk;140
6;A Pousada da Galiza Imaxinaria;A CORU�A;Ferrol;R�a Pardo Baixo, 2, 15403;981845340;info@apousada.eu;https://apousada.eu/;Rock, Pop, Hip-Hop, Indie;100
7;La Room;A CORU�A;Ferrol;R. Sol, 142, 15401;981949786;salaroom@salaroom.com;https://www.salaroom.com/;Rock, Blues, Electr�nica;100
8;Ruido;A CORU�A;Ferrol;R. Real, 223, 15401;616188184;info@ruidoblancoferrol.com;Sin datos;Rock, Metal Folk, Punk;170
9;Capitol;A CORU�A;Santiago de Compostela;R�a de Concepci�n Arenal, 5, 15702;981574399;salacapitol@salacapitol.com;http://www.salacapitol.com/;Rock, Metal, Hip-Hop, Pop, Indie;800
10;Malatesta;A CORU�A;Santiago de Compostela;R�a de San Lourenzo, 51-53, 15704;664493900;info@salanasa.com;http://www.salamalatesta.net/;Rock, Metal;400
11;Moon Music;A CORU�A;Santiago de Compostela;R. da Rep�blica Arxentina, 35, 15701;649968839;moonmusicclub@hotmail.com;http://www.moonmusicclub.com/;Rock, Metal;300
12;Riquela;A CORU�A;Santiago de Compostela;R�a do Preguntoiro, 35, 15704;648478109;eventos@riquela.com;http://www.riquela.com/;Rock, Folk, Blues, Jazz, Flamenco;100
13;S�nar;A CORU�A;Santiago de Compostela;R�a de Mazarelos, 4, 5, 15703;649457919;pubsonar@gmail.com;http://www.sonarcompostela.com/;Rock, Blues, Indie, Electr�nica;200
14;Hell Dorado;�LAVA;Vitoria;Venta de la Estrella Kalea, 6, 01006;945230131;helldorado@helldorado.net;https://www.helldorado.net/;Rock, Blues, R&B;250
15;Jimmy Jazz Gasteiz;�LAVA;Vitoria;Coronacion de la Virgen Blanca Kalea, 4, 01012;945234960;info@jimmyjazzgasteiz.com;http://www.jimmyjazzgasteiz.com/;Pop, Rock;800
16;Le Coup;�LAVA;Vitoria;C. Beato Tom�s de Zum�rraga, 19, 01008;678785658;agendalecoup@gmail.com;http://www.lecoup.es/;Rock, Pop;100
17;Urban Rock Concept;�LAVA;Vitoria;Gamarrako Atea, 1, 01013;945774331;info@urbanrockconcept.com;https://www.urbanrockconcept.com/;Rock, Metal, Punk, Hip-Hop;50-100
18;ClanDestino;ALBACETE;Albacete;Av. de Espa�a, 47, 02002;637460553;info@salaclandestino.com;http://salaclandestino.com/;Rock, Indie, Pop;150
19;La Cachorra Yey�;ALBACETE;Albacete;C. Tinte, 35, 02002;627649399;lacachorrayeye@gmail.com;Sin datos;Rock, R&B, Blues;50-150
20;Sideral;ALBACETE;Albacete;C. Teodoro Camino, 13, 02002;967607825;mcoloradosideral@gmail.com;Sin datos;Rock, Metal, Punk;100
21;Babel;ALICANTE;Alicante;C. del Comercio, 3, 03008;629352487;salababelalicante@gmail.com;https://www.salababel.com/;Rock, Metal, Blues, Hip-Hop, Reggae;300
22;Marearock;ALICANTE;Alicante;C. del Comercio, 10, 03008;690351012;salamarearock@gmail.com;Sin datos;Rock, Metal, Punk, Ska, Indie;300
23;Ocho y Medio;ALICANTE;Alicante;Plaza Sta. Teresa, 15, 03004;699005145;Sin datos;Sin datos;Rock, Metal, Punk;100
24;Stereo;ALICANTE;Alicante;C/ Pintor Velazquez, 5, 03004;965143946;conciertos@salastereo.com;http://www.salastereo.com/;Electr�nica, Pop, Indie, Rock;124
25;Rockstar Benidorm;ALICANTE;Benidorm;C. Gerona, 17, 03503;666598844;conciertos@rockstarbenidorm.com;http://www.rockstarbenidorm.com/;Rock;250
26;TNT Blues;ALICANTE;Cox;C. Albatera, 7, 03350;679819900;tntbluesbarcox@gmail.com;Sin datos;Rock, Metal, Punk, Blues;150
27;Subway The Pop;ALICANTE;Elche;Carrer Pere Ibarra, 6, 03202;965454305;sbwy06@hotmail.com;Sin datos;Rock, Pop;250
28;La Gramola;ALICANTE;Orihuela;C. Valencia, 21, 03300;Sin datos;info@lagramola.com;http://www.lagramola.com/;Rock, Blues;Sin datos
29;Nave Iguana;ALICANTE;San Vicente del Raspeig;Calle Artesanos, 6G, 03690;965668602;naveiguana@hotmail.com;Sin datos;Rock, Punk, Metal;100
30;M�sm�sica �vila;�VILA;�vila;C. R�o Esla, 28B, 05004;669124428;josemasmusica@gmail.com;Sin datos;Sin datos;100-200
31;Almo2bar;BARCELONA;Barcelona;59-61, Carrer de Bruniquer, 08024;932199345;ma3.produccion@gmail.com;http://www.grupalmodobar.com/;Pop, Rock, Soul, Funk;300
32;Apolo;BARCELONA;Barcelona;C/ Nou de la Rambla, 113, 08004;934414001;info@sala-apolo.com;https://www.sala-apolo.com/es/;Rock, Jazz, Experimental, Indie, Ska;100-1300
33;Barts;BARCELONA;Barcelona;Av. del Paral�lel, 62, 08001;933248494;info@barts.cat;http://www.barts.cat/;Rock, Pop;130-1500
34;Big Bang;BARCELONA;Barcelona;Carrer d'En Botella, 7, 08001;Sin datos;bigbangbarcelona@gmail.com;https://www.bigbangbarcelona.com/;Rock, Blues, Pop, Jazz;76
35;Bikini;BARCELONA;Barcelona;L'Illia, Av. Diagonal, 547, 08029;933220800;bikinilive@bikinibcn.com;https://www.bikinibcn.com/;Rock, Pop, Hip-Hop, Reggae;660
36;B�veda;BARCELONA;Barcelona;Carrer de Roc Boronat, 33, 08005;933004192;richard@backgroundnoise.es;http://www.salaboveda.com/;Rock, Metal;450
37;Diobar;BARCELONA;Barcelona;Av. del Marqu�s de l'Argentera, 27, 08003;656621145;diobar@diobarbcn.cat;https://www.diobarbcn.cat/;Rock, Cumbia, Funk, Jazz, Salsa;100
38;Hangar 05;BARCELONA;Barcelona;Carrer Bassols, 5, 08026;601265027;hangar05bcn@gmail.com;http://www.hangar05.com/;Rock, Pop, Folk;Sin datos
39;Harlem Jazz Club;BARCELONA;Barcelona;Carrer de la Comtessa de Sobradiel, 8, 08002;933100755;zingariaproduccions@yahoo.es;http://www.harlemjazzclub.es/;Jazz, Soul, Funk, Blues, Flamenco;38
40;Heliog�bal;BARCELONA;Barcelona;C/ de Ram�n y Cajal, 80, 08012;Sin datos;programacio@ heliogabal.com;http://www.heliogabal.com/;Rock, Pop, Indie, Hip-Hop, Electr�nica;100
41;Jamboree Jazz & Dance Club;BARCELONA;Barcelona;Pl. Reial, 17, 08002;933191789;info-jamboree@masimas.com;http://www.jamboreejazz.com/;Jazz, Blues, Cumbia, Electr�nica, Soul;Sin datos
42;La Nau;BARCELONA;Barcelona;C. d'�laba, 30, 08005;932250314;info@lanaubcn.es;http://www.lanaubcn.es/;Rock, Folk, Pop, Tango;350
43;Laut;BARCELONA;Barcelona;Carrer de Vila i Vil�, 63, 08004;Sin datos;lautconcert@laut.es;http://laut.es/;Electr�nica, Disco, DJ;230
44;Live Music Marula;BARCELONA;Barcelona;Carrer dels Escudellers, 49, 08002;933187690;eventosbcn@marulacafe.com;http://www.marulacafe.com/bcn;Electr�nica, Disco, Funk, DJ;200
45;Luz de Gas;BARCELONA;Barcelona;C/ de Muntaner, 246, 08021;932097711;comunicacio@luzdegas.com;http://www.luzdegas.com/;Jazz., Soul, Rock;500-800
46;New Fizz;BARCELONA;Barcelona;C/ de Balmes, 83, 08008;606880101;newfizzprogramacion@gmail.com;http://www.newfizz.es/;Autor, Ac�sticos;50-150
47;Nota 79;BARCELONA;Barcelona;Carrer de Vallirana, 79, 08006;669893140;management@nota79.cat;http://www.nota79.cat/;Pop, Rock;90
48;Razzmatazz;BARCELONA;Barcelona;C/ dels Almog�vers, 122, 08018;933208200;inforazz@salarazzmatazz.com;http://www.salarazzmatazz.com/;Rock, Indie, Pop, Techno, Hip-Hop;150-2000
49;Sidecar;BARCELONA;Barcelona;Pl. Reial, 7, 08002;933177666;info@sidecar.es;http://www.sidecar.es/;Electr�nica, R&B, Soul, Rock, Pop;300
50;Soda Ac�stic;BARCELONA;Barcelona;Carrer de les Guilleries, 6, 08012;930165590;info@soda.cat;http://soda.cat/;Jazz, Folk, Pop;76
51;Upload;BARCELONA;Barcelona;Av. de Francesc Ferrer i Gu�rdia, 13, 08038;Sin datos;info@sala-upload.com;http://www.sala-upload.com/;Rock, Punk, Techno, Trap, DJ;212
52;Vivaldi;BARCELONA;Barcelona;C/ de Llan�a, 5, 08015;667481486;info@salavivaldi.com;https://www.salavivaldi.com/;Latina, Bachata, Salsa, Rock;250
53;Vol;BARCELONA;Barcelona;C/ de Sancho de �vila, 78, 08018;Sin datos;vol@lafluent.com;https://salavol.com/;Electr�nica, Rock, Pop, Folk;150
54;23 Robadors;BARCELONA;Barcelona;Carrer d'En Robador, 23, 08001;Sin datos;23robadors@gmail.com;https://23robadors.com/;Jazz, Flamenco, Funk, Rock, Latina;Sin datos
55;Lennon's Club;BARCELONA;L'Hospitalet de Llobregat;Av. Fabregada, 91, 08901;933370250;lennonsbcn@gmail.com;http://lennonsclub.com/;Electr�nica, Rock, Punk, Indie, Pop;60-170
56;Salamandra;BARCELONA;L'Hospitalet de Llobregat;Av. del Carrilet, 235, 08907;933370602;salamandra@salamandra.cat;http://www.salamandra.cat/;Rock, Metal, Hardcore;800
